;Model;Imputation;Loss;Layers;Attn. heads;FFT;Recurrent embeddings;MSE, x10^17;MAE, x10^8;MAPE_all;MAPE_large;R^2
158;Transformer:encoder;ARIMA;BCE;2;2;+;+;1.18±0.31;1.35±0.28;3.71±1.08;0.28±0.03;0.83±0.05
159;Transformer:encoder;ARIMA;MSE(logit);2;2;+;-;5.69±0.84;3.28±0.20;4.15±2.24;0.65±0.04;0.22±0.09
160;Transformer:encoder;ARIMA;BCE;2;2;+;-;5.58±3.10;3.85±0.96;33.48±13.82;0.59±0.04;0.32±0.13
161;Transformer:encoder;ARIMA;MSE(logit);2;4;+;+;2.22±0.65;1.75±0.39;0.89±0.13;0.36±0.07;0.71±0.07
162;Transformer:encoder;ARIMA;BCE;2;4;+;+;1.14±0.47;1.33±0.27;7.47±4.63;0.29±0.05;0.82±0.07
163;Transformer:encoder;ARIMA;MSE(logit);2;4;+;-;5.63±1.24;3.26±0.62;4.74±1.95;0.66±0.07;0.23±0.15
164;Transformer:encoder;ARIMA;BCE;2;4;+;-;6.03±0.21;4.97±0.12;165.61±19.61;0.52±0.02;-0.00±0.00
165;Transformer:encoder;ARIMA;MSE(logit);3;1;+;+;1.88±1.10;1.53±0.40;0.91±0.07;0.32±0.04;0.75±0.10
166;Transformer:encoder;ARIMA;BCE;3;1;+;+;1.10±0.28;1.29±0.12;2.83±1.15;0.28±0.02;0.85±0.02
167;Transformer:encoder;ARIMA;MSE(logit);3;1;+;-;5.09±1.56;3.19±0.57;6.22±2.54;0.74±0.07;0.27±0.04
168;Transformer:encoder;ARIMA;BCE;3;1;+;-;5.57±1.87;4.11±0.80;45.67±13.26;0.62±0.10;0.04±0.26
169;Transformer:encoder;ARIMA;MSE(logit);3;2;+;+;1.52±0.40;1.34±0.31;0.95±0.07;0.33±0.06;0.76±0.05
170;Transformer:encoder;ARIMA;BCE;3;2;+;+;1.28±0.34;1.40±0.16;4.33±3.43;0.29±0.01;0.83±0.02
171;Transformer:encoder;ARIMA;MSE(logit);3;2;+;-;6.15±1.71;3.38±0.65;6.42±4.26;0.74±0.09;0.20±0.17
172;Transformer:encoder;ARIMA;BCE;3;2;+;-;5.71±1.51;3.88±0.41;59.30±27.34;0.64±0.06;0.17±0.12
173;Transformer:encoder;ARIMA;MSE(logit);3;4;+;+;2.47±0.94;1.76±0.37;1.06±0.21;0.35±0.05;0.68±0.10
174;Transformer:encoder;ARIMA;BCE;3;4;+;+;1.18±0.35;1.31±0.20;8.88±1.92;0.31±0.02;0.83±0.02
175;Transformer:encoder;ARIMA;MSE(logit);3;4;+;-;6.67±1.12;3.66±0.45;5.23±1.56;0.67±0.08;0.17±0.14
176;Transformer:encoder;ARIMA;BCE;3;4;+;-;5.56±1.26;3.96±0.46;42.09±22.79;0.61±0.08;0.17±0.06
177;Transformer:encoder;ARIMA;MSE(logit);4;1;+;+;2.46±1.10;1.75±0.47;1.19±0.22;0.34±0.02;0.68±0.06
178;Transformer:encoder;ARIMA;BCE;4;1;+;+;1.14±0.35;1.36±0.24;5.56±2.55;0.31±0.04;0.83±0.04
179;Transformer:encoder;ARIMA;MSE(logit);4;1;+;-;4.19±1.12;2.77±0.45;3.37±0.64;0.68±0.10;0.26±0.14
180;Transformer:encoder;ARIMA;BCE;4;1;+;-;5.69±1.94;3.48±0.60;28.93±8.54;0.71±0.13;0.18±0.17
181;Transformer:encoder;ARIMA;MSE(logit);4;2;+;+;1.96±0.80;1.46±0.32;1.08±0.23;0.34±0.07;0.68±0.10
182;Transformer:encoder;ARIMA;BCE;4;2;+;+;1.34±0.50;1.33±0.23;9.42±13.70;0.28±0.03;0.82±0.04
183;Transformer:encoder;ARIMA;MSE(logit);4;2;+;-;4.32±0.67;2.70±0.21;4.91±1.34;0.67±0.08;0.30±0.07
184;Transformer:encoder;ARIMA;BCE;4;2;+;-;5.71±1.48;3.65±0.57;39.23±24.22;0.59±0.06;0.22±0.11
185;Transformer:encoder;ARIMA;MSE(logit);4;4;+;+;2.93±1.47;2.02±0.49;1.26±0.28;0.39±0.05;0.63±0.12
186;Transformer:encoder;ARIMA;BCE;4;4;+;+;1.43±0.65;1.45±0.33;7.75±4.61;0.31±0.04;0.80±0.05
187;Transformer:encoder;ARIMA;MSE(logit);4;4;+;-;5.30±0.72;2.96±0.39;7.09±4.87;0.65±0.04;0.30±0.09
188;Transformer:encoder;ARIMA;BCE;4;4;+;-;5.02±1.93;3.49±0.67;28.37±15.94;0.61±0.08;0.23±0.21
189;Transformer:encoder;ARIMA;MSE(logit);1;1;-;+;1.94±0.50;1.59±0.22;1.26±0.19;0.36±0.06;0.74±0.09
190;Transformer:encoder;ARIMA;BCE;1;1;-;+;1.15±0.28;1.28±0.19;7.44±0.99;0.32±0.02;0.82±0.02
191;Transformer:encoder;ARIMA;MSE(logit);1;1;-;-;1.01±0.75;1.26±0.34;1.35±0.10;0.31±0.04;0.85±0.09
192;Transformer:encoder;ARIMA;BCE;1;1;-;-;1.08±0.42;1.35±0.26;10.39±2.99;0.30±0.02;0.83±0.05
193;Transformer:encoder;ARIMA;MSE(logit);1;2;-;+;2.23±0.53;1.66±0.24;1.19±0.18;0.34±0.02;0.69±0.06
